country,percent,port
Belgium,2.371719608728778,Vintage
Belgium,7.184286509497909,LBV
Belgium,2.3760294210833885,Colheitas
Belgium,55.66715788570848,IndicationOfAge
Belgium,17.50204129354964,Reserve
Belgium,14.898765281431814,TawnyReserve
Belgium,0,Crusted
Canada,3.470894143110244,Vintage
Canada,22.627662144690834,LBV
Canada,8.592406694184593,Colheitas
Canada,50.1043674313984,IndicationOfAge
Canada,7.444489177997281,Reserve
Canada,7.732541897289885,TawnyReserve
Canada,0.027638511328758452,Crusted
Denmark,22.751632080057796,Vintage
Denmark,16.709428925099733,LBV
Denmark,18.206222437818475,Colheitas
Denmark,27.79725242101244,IndicationOfAge
Denmark,5.800767547336179,Reserve
Denmark,8.279090605716235,TawnyReserve
Denmark,0.4556059829591358,Crusted
France,3.376332110488869,Vintage
France,5.006915355979066,LBV
France,4.114668682888454,Colheitas
France,58.39341570134843,IndicationOfAge
France,11.39941209114691,Reserve
France,17.668949685087533,TawnyReserve
France,0.04030637306074389,Crusted
Germany,9.752227895883085,Vintage
Germany,15.64577286281144,LBV
Germany,3.785250555050771,Colheitas
Germany,38.860889838884496,IndicationOfAge
Germany,23.10896867024876,Reserve
Germany,8.671962101706916,TawnyReserve
Germany,0.17492807541453104,Crusted
Netherlands,4.056702138424675,Vintage
Netherlands,9.363795883953498,LBV
Netherlands,7.0658344494115966,Colheitas
Netherlands,58.08142362497715,IndicationOfAge
Netherlands,14.631393357829461,Reserve
Netherlands,6.780193300408033,TawnyReserve
Netherlands,0.02065724499559201,Crusted
Portugal,12.724609765982992,Vintage
Portugal,10.640331503530081,LBV
Portugal,6.607179779403498,Colheitas
Portugal,49.55120551474803,IndicationOfAge
Portugal,7.592153555392361,Reserve
Portugal,12.764337922558134,TawnyReserve
Portugal,0.12018195838491023,Crusted
Spain,5.7084648464746115,Vintage
Spain,16.89135550950156,LBV
Spain,1.7516797719825574,Colheitas
Spain,34.76854523466628,IndicationOfAge
Spain,17.092677247933842,Reserve
Spain,23.728566912380884,TawnyReserve
Spain,0.058710477060261036,Crusted
Total,8.575330241933294,Vintage
Total,13.548099015092497,LBV
Total,5.793691135206029,Colheitas
Total,41.918462218113035,IndicationOfAge
Total,22.2660843730943,Reserve
Total,7.542667489324975,TawnyReserve
Total,0.35566552723586664,Crusted
United Kingdom,8.799014422944715,Vintage
United Kingdom,19.187899637799894,LBV
United Kingdom,3.677877060154783,Colheitas
United Kingdom,19.373481414926573,IndicationOfAge
United Kingdom,46.2131624277186,Reserve
United Kingdom,1.65635485388517,TawnyReserve
United Kingdom,1.092210182570262,Crusted
USA,5.111828933033316,Vintage
USA,10.381171861397977,LBV
USA,3.1018062649589373,Colheitas
USA,52.20891118158342,IndicationOfAge
USA,26.17478018642041,Reserve
USA,2.984411478764186,TawnyReserve
USA,0.037090093841757925,Crusted
